task_id,task_name,status,matched_content,matched_hook,missing_requirement,suggested_fix
580,Defeat a Skeletal Wyvern.,ambiguous,npc candidates: 465:Skeletal Wyvern; 466:Skeletal Wyvern; 467:Skeletal Wyvern; 468:Skeletal Wyvern,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
581,Defeat a Brutal Black Dragon.,ambiguous,npc candidates: 7275:Brutal black dragon; 8092:Brutal black dragon; 8093:Brutal black dragon,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
582,Defeat a Demonic Gorilla.,ambiguous,npc candidates: 7144:Demonic gorilla; 7145:Demonic gorilla; 7146:Demonic gorilla; 7147:Demonic gorilla; 7148:Demonic gorilla,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
583,Defeat a Revenant Knight.,ready,npc:7939 Revenant knight spawned,LeagueTaskManager.onNpcKill,,
584,Defeat Crazy Archaeologist.,ready,npc:6618 Crazy archaeologist spawned,LeagueTaskManager.onNpcKill,,
585,Defeat Chaos Fanatic.,ready,npc:6619 Chaos Fanatic spawned,LeagueTaskManager.onNpcKill,,
586,Defeat Scorpia.,ready,npc:6615 Scorpia spawned,LeagueTaskManager.onNpcKill,,
587,Defeat Chaos Elemental.,ready,npc:2054 Chaos Elemental spawned,LeagueTaskManager.onNpcKill,,
588,Defeat King Black Dragon.,ambiguous,npc candidates: 239:King Black Dragon; 2642:King Black Dragon; 6502:King Black Dragon; 12440:King Black Dragon,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
589,Defeat Barrows Brothers.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
590,Defeat Giant Mole.,ready,npc:5779 Giant Mole spawned,LeagueTaskManager.onNpcKill,,
591,Defeat Sarachnis.,ready,npc:8713 Sarachnis spawned,LeagueTaskManager.onNpcKill,,
595,Defeat Kalphite Queen.,ambiguous,npc candidates: 128:Kalphite Queen; 963:Kalphite Queen; 965:Kalphite Queen; 4303:Kalphite Queen; 4304:Kalphite Queen,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
596,Defeat Zulrah.,ambiguous,npc candidates: 2042:Zulrah; 2043:Zulrah; 2044:Zulrah,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
597,Defeat Vorkath.,ambiguous,npc candidates: 8026:Vorkath; 8058:Vorkath; 8059:Vorkath; 8060:Vorkath; 8061:Vorkath,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
598,Defeat Phantom Muspah.,ambiguous,npc candidates: 12077:Phantom Muspah; 12078:Phantom Muspah; 12079:Phantom Muspah; 12080:Phantom Muspah; 12082:Phantom Muspah,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
600,Defeat Cerberus.,ambiguous,npc candidates: 5862:Cerberus; 5863:Cerberus; 5866:Cerberus; 13657:Cerberus,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
601,Defeat Kraken.,ambiguous,npc candidates: 494:Kraken; 6640:Kraken; 6656:Kraken,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
602,Defeat Thermonuclear Smoke Devil.,ready,npc:499 Thermonuclear smoke devil spawned,LeagueTaskManager.onNpcKill,,
604,Defeat General Graardor.,ambiguous,npc candidates: 2215:General Graardor; 6494:General Graardor; 12444:General Graardor,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
605,Defeat Kree'arra.,ambiguous,npc candidates: 3162:Kree'arra; 6492:Kree'arra; 12443:Kree'arra,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
